Date,Time,Actual,Predict,Error,Abs Error,APE
9/12/2019,19:00:00,1381.6429,1031.462,350.1809,350.1809,25.34525383
9/12/2019,20:00:00,1353.2881,1014.71747,338.57063,338.57063,25.01837044
9/12/2019,21:00:00,1348.1165,1002.6166,345.4999,345.4999,25.62834147
9/12/2019,22:00:00,1283.0212,993.27496,289.74624,289.74624,22.58312178
9/12/2019,23:00:00,1218.9629,986.3629,232.6,232.6,19.08179486
10/12/2019,0:00:00,1143.9916,1036.5161,107.4755,107.4755,9.394780521
10/12/2019,1:00:00,1100.2111,1030.8892,69.3219,69.3219,6.300781732
10/12/2019,2:00:00,1081.0481,1025.8131,55.235,55.235,5.109393375
10/12/2019,3:00:00,1044.3815,1023.37775,21.00375,21.00375,2.011118542
10/12/2019,4:00:00,1033.8613,1019.13116,14.73014,14.73014,1.424769454
10/12/2019,5:00:00,1056.5598,1013.2111,43.3487,43.3487,4.102815572
10/12/2019,6:00:00,1089.2897,1011.85126,77.43844,77.43844,7.109076676
10/12/2019,7:00:00,1238.0288,1086.045,151.9838,151.9838,12.27627338
10/12/2019,8:00:00,1412.6757,1182.058,230.6177,230.6177,16.32488617
10/12/2019,9:00:00,1530.3315,1260.0325,270.299,270.299,17.66277437
10/12/2019,10:00:00,1633.9145,1315.8595,318.055,318.055,19.46582884
10/12/2019,11:00:00,1687.1359,1359.8993,327.2366,327.2366,19.39598345
10/12/2019,12:00:00,1674.3668,1389.6107,284.7561,284.7561,17.00679325
10/12/2019,13:00:00,1704.8151,1402.0546,302.7605,302.7605,17.75913998
10/12/2019,14:00:00,1683.7974,1399.6909,284.1065,284.1065,16.87296227
10/12/2019,15:00:00,1628.8445,1382.5345,246.31,246.31,15.1217627
10/12/2019,16:00:00,1536.2561,1364.3685,171.8876,171.8876,11.18873344
10/12/2019,17:00:00,1449.4523,1313.3684,136.0839,136.0839,9.388642869
10/12/2019,18:00:00,1508.1451,1261.7748,246.3703,246.3703,16.3359812
10/12/2019,19:00:00,1498.5985,1231.1561,267.4424,267.4424,17.8461676
10/12/2019,20:00:00,1464.2721,1210.8815,253.3906,253.3906,17.3048848
10/12/2019,21:00:00,1413.0347,1197.9513,215.0834,215.0834,15.22138133
10/12/2019,22:00:00,1319.9245,1188.1217,131.8028,131.8028,9.985631754
10/12/2019,23:00:00,1249.2565,1180.8623,68.3942,68.3942,5.474792407
